districte;barris;barri_nom;barri_curt;poblacio;superficies;densitat;densitat_neta;homes;dones;e0_14_anys;e15_24_anys;e25_64_anys;e65 anys_i_mes;andalusia;arago;asturies;balears;canaries;cantabria;castellalamanxa;castellalleo;catalunya;valencia;extremadura;galicia;madrid;murcia;navarra;pais_basc;rioja;ceuta_melilla;estranger;espanya;alemanya;austria;belgica;bulgaria;dinamarca;eslovaquia;eslovenia;estonia;finlandia;franca;grecia;hongria;irlanda;italia;letonia;lituania;luxemburg;malta;holanda;polonia;portugal;uk;romania;suecia;rep_txeca;xipre;albania;andorra;armenia;bielorussia;bosnia;croacia;georgia;islandia;liechtenstein;maceconia;moldavia;monaco;montenegro;noruega;russia;serbia;suissa;ucraina;algeria;angola;benin;burkinafaso;burunci;camerun;cap_verd;rep_centreafrica;congo;congo_rd;costaivori;egipte;eritrea;etiopia;gabon;gambia;ghana;guinea;guinea_bissau;guinea_equatorial;kenya;liberia;libia;macagascar;malawi;mali;marroc;maurici;mauritania;mocambic;namibia;niger;nigeria;rwanda;sao_tome_principe;senegal;seychelles;sierraleone;somalia;sucafrica;sucan;tanzania;togo;tunisia;uganca;zambia;zimbabwe;altres_paisos_africa;canaca;eeuu;antigua;bahames;barbacos;belize;costa_rica;cuba;dominica;dominicana_republica;granaca;guatemala;haiti;honcures;jamaica;mexic;nicaragua;panama;christopher_i_nevis;saintlucia;salvacor;trinitat_i_tobago;argentina;bolivia;brasil;colombia;equacor;guyana;paraguai;peru;uruguai;venecuela;xile;afganistan;arabia_saudita;azerbaidjan;bangladesh;cambodja;corea;filipines;iemen;india;indonesia;iran;iraq;israel;japo;jorcania;kazakhstan;kirguizistan;kuwait;laos;liban;malaisia;mongolia;myanmar;nepal;oman;pakistan;singapur;siria;sri_lanka;tacjikistan;tailancia;turkmenistan;turquia;uea;uzbekistan;vietnam;xina;altres_asia;australia;nova_zelanda;apatrides;per_llar;persones_per_llar;menors_24;de25_29_anys;de30_34_anys;de35_39_anys;de40_44_anys;de45_49_anys;de50_54_anys;de55_59_anys;de60_64_anys;de65_69_anys;de70_74_anys;de75_79_anys;de80_84_anys;de85_89_anys;de90_94_anys;de95_i_mes;sols_total;sense_estudis;primaris;second_inferior;second_superior;universitaris;no_consta;senseestucis_dones;primaris_dones;dones_batxilleratelemental;dones_batxilleratsuperior;dones_superior;dones_no_consta;persona1;persones2;persones3;persones4;persones5;persones6;persones7;persones8;persones9_i_mes;cap_menor;menor1;menors2;menors3;menors_4_o_mes;tots_espanyols;tots_estrangers;llars_mixtes;edatmitjana_totsespanyols;edatmitjana_totsestrangers;edatmitjana_mixtes;emigrants;emigrants_homes;emigrants_dones;naixements_2007;naixements_2008;naixements_2009;naixements2010;naixements2011;naixements2012;baixa_per_mil;alta_taxa_per_mil;total_aturats;atur_menys6mesos;atur6a12mesos;aturmes12mesos;atur_homes;atur_dones;rfbc2008_old;rfbc2009_old;rfbc2010_old;rfbc2011_old;rfbc2008;rfbc2012;rfbc2014;fins_a_75_cc;de_75_a_125_cc;de_126_a_200;de_201_a_250_cc;de_251_a_300_cc;de_301_a_500_cc;de_501_a_750_cc;mes_de_750_cc;vehiclestotal;turismes;motos;ciclomotors;furgonetes;camions;altres_vehicles;cotxes_menys_dun_any;cotxes_1_any;cotxes_2_anys;cotxes_3_anys;cotxes_4_anys;cotxes_5_anys;cotxes_6_anys;cotxes_7_anys;cotxes_8_anys;cotxes_9_anys;cotxes_10_anys;cotxes_d11_a_15;cotxes_mes_15;llars;propi_compra_pagat;propi_compra_hipoteca;propi_herencia;llogat;cedit;altra_forma;fins_a_30_m2;de31_a_60_m2;de61_a_90_m2;de91_a_120_m2;de121_a_150_m2;mes_de_150_m2;habitacio1;habitacions2;habitacions3;habitacions4;habitacions5;habitacions6;habitacions7;habitacions8;habitacions_9i_mes;amb_calefaccio;colectiva_o_central;individual;aparell_escalfar;sense_calefaccio;amb_telefon;sense_telefon;nc;amb_internet;sense_internet;ruinos;dolent;deficient;bo;preum2_2009;preum2_2010;preum2_2011;preum2_2012;preum2_2013;preulloguerm2_2011;preulloguerm2_2010.;preulloguerm2_2009;preulloguerm2_2008;preulloguerm2_2007;electors_l07;votants_l07;psc_l07;ciu_l07;pp_l07;icv_l07;erc_l07;altre_l07;electors_l11;votants_l11;ciu_l11;psc_l11;pp_l11;icv_l11;erc_l11;altres_l11;blancs_l11;nuls_l11;electors_a10;votants_a10;abstencio_a10;ciu_a10;psc_a10;pp_a10;icv_a10;erc_a10;cs_a10;si_a10;altres_a10;blancs_a10;nuls_a10;electors_a12;votants_a12;abstencio_a12;ciu_a12;pp_a12;erc_a12;psc_a12;icv_a12;cs_a12;cup_a12;altres_a12;blancs_a12;nuls_a12;electors_g11;votants_g11;abstencio_g11;ciu_g11;psc_g11;pp_g11;icv_g11;erc_g11;eb_g11;upyc_g11;pxc_g11;pirata_g11;pacma_g11;anticapitalistes_g11;uce_g11;blancs_g11;nuls_g11;electors_eu14;votants_eu14;abstencio_eu14;erc_eu14;ciu_eu14;icv_eu14;psc_eu14;pp_eu14;cs_eu14;pocem_eu14;altres_eu14;blancs_eu14;nuls_eu14;de65_anys_i_mes_sols;de75_anys_i_mes_sols;index_envelliment;index_sobreenvelliment;dependencia_dem;habitatgeææ;aparcamentsææ;comerc;industriaææ;oficinesææ;ensenyamentææ;sanitatææ;hostaleriaææ;esportiuææ;religiosææ;espectaclesææ;altres_usosææ;taxa_natalitat_2014;taxa_mortalitat_2014;taxa_immigracio_2014;taxa_emigracio_2014;pensions_no_contr_jubilacio_2012;pensions_no_contr_invalidesa_2012
3;11; el Poble Sec ;psec;40984;460;89;1141;20139;20845;4721;3548;25487;7228;1497;650;118;99;74;67;384;812;19598;526;260;1017;301;173;80;197;55;64;15012;28404;241;25;40;64;9;15;5;4;21;473;45;23;41;1008;4;13;0;0;69;97;120;263;232;65;21;2;10;4;39;4;3;11;53;1;0;2;12;0;2;6;94;9;28;95;106;0;0;0;0;3;1;0;0;0;1;2;0;0;0;3;10;13;3;4;0;0;0;1;0;1;881;1;2;2;0;0;13;0;0;17;0;2;0;3;1;1;0;10;0;0;0;0;10;87;0;1;0;0;4;83;1;669;0;8;0;136;0;109;4;2;0;0;44;0;246;412;256;360;355;0;156;278;54;121;168;3;0;4;171;0;2;1096;0;587;3;2;2;10;29;0;6;1;0;0;9;0;0;0;56;0;2123;0;3;0;0;3;0;20;0;7;0;507;3;12;3;0;16214;2.5;84;289;487;567;413;392;315;324;310;338;303;432;503;328;156;37;5278;2888;9467;8108;7757;7817;7;1799;4726;3862;3670;4335;3;5284;4656;2.84;1.79;709;369;196;132;234;12951;1945;1012;212;90;11.24;2461;2509;49.2;31.1;33.9;2077;1104;973;318;396;387;413;400;339;102.4;107;3129;1302;532;1296;1664;1465;708,153,982,033;686,684,281,005;665,714,113,807;729,897,904,672;70.8;80.7;71;280;1837;457;380;132;231;409;197;18534;10643;3923;2143;656;525;644;176;209;273;291;324;433;530;489;551;463;417;2443;3164;16516;5144;3838;568;6189;265;512;263;7339;7611;1081;125;.;499;1524;3759;4635;4585;1156;263;.;.;13843;523;5863;7457;2673;16490;.;.;9970;6547;.;341;1372;14748;3320;3184;2679;2378;2310;12;13;13;13;13;28979;12174;3850;2455;1651;1451;1362;1405;25875;11756;2568;2533;1731;1641;824;1699;521;239;25250;13450;11800;4038;2661;1593;1640;1142;450;370;1071;393;92;24735;15348;9387;3835;1874;2516;1833;2114;1006;875;984;172;139;24996;15050;9946;3097;4215;2783;1972;1189;315;224;291;150;143;165;25;227;254;24962;10924;14038;2851;1626;1551;1384;1016;583;745;963;112;93;29.1;35.5;143.6;57;42.4;19196;3486;1923;1466;337;165;50;272;129;26;35;102;8.4;8.5;60;44.8;217;285
3;12; la Marina del Prat Vermell ;marverm;1172;1428;1;32;599;573;149;135;645;243;77;7;0;2;3;1;13;10;871;5;6;11;6;8;0;4;0;2;146;1062;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0;0;1;0;11;2;0;13;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;418;2.7;2;6;12;7;10;12;9;15;11;12;5;14;17;15;2;2;151;200;330;287;106;38;0;108;175;115;54;24;0;155;103;64;45;33;11;6;1;9;334;54;24;9;6;377;18;32;45.2;31;33.5;36;20;16;8;11;6;11;5;11;33.8;44.2;159;71;27;61;99;59;772,189,473,411;74,198,502,595;619,093,048,881;530,352,228,412;77.2;45.9;59.1;14;178;30;28;11;12;32;13;8895;2959;318;158;560;1433;3467;963;107;145;102;124;155;112;130;95;79;52;249;481;309;.;140;.;.;.;.;.;.;218;.;.;.;.;.;.;.;.;.;.;.;.;192;.;.;.;.;309;.;.;121;188;.;.;.;242;.;.;.;.;.;.;.;.;.;.;984;258;150;26;38;13;7;24;877;252;40;117;42;13;4;17;14;5;882;270;612;66;87;43;20;10;11;9;17;4;3;881;349;532;51;57;29;107;27;36;7;30;5;0;869;391;478;53;174;93;24;5;2;1;20;0;8;1;0;6;4;852;203;649;13;19;35;56;26;10;11;27;4;2;30;35.2;143;63.7;51.4;906;1338;1013;2012;538;28;13;18;8;1;0;145;8.5;15.4;31.6;44.4;8;23
3;13; la Marina de Port;marport;30271;125;241;774;14619;15652;4332;3079;17055;5805;2400;575;103;42;27;55;549;1045;17630;282;478;750;201;234;44;87;55;66;5648;26088;34;5;5;87;0;3;1;0;2;51;1;15;3;148;3;1;1;0;11;43;37;23;171;6;5;0;5;0;16;13;1;3;35;0;0;0;7;0;0;8;54;1;5;47;43;0;1;1;0;4;0;0;0;0;0;1;0;0;0;0;3;22;2;6;2;0;0;0;0;11;257;0;0;0;0;0;13;0;0;11;0;0;0;3;0;1;0;0;0;0;0;0;5;12;0;0;0;0;1;60;1;125;0;0;1;130;0;20;15;1;0;0;30;0;78;129;52;213;343;0;56;343;36;25;73;0;0;0;50;0;17;398;0;104;0;4;0;1;7;0;3;0;0;0;0;0;0;0;13;0;274;0;4;0;0;2;0;1;0;2;0;322;0;0;0;0;11706;2.6;50;140;234;249;232;195;200;190;213;253;218;309;355;220;65;13;3136;2826;6876;6810;5869;3129;11;1695;3733;3280;2822;1800;7;3139;3342;2415;1857;526;226;97;56;48;8668;1771;1063;158;46;9969;706;1031;45.1;30.4;33.3;1161;586;575;290;329;296;301;275;261;52.4;57.7;2339;921;371;1047;1123;1216;773,527,567,527;756,167,295,902;744,296,582,111;70,758,255,652;77.4;67.4;70.9;163;1386;242;267;102;137;345;153;15971;10187;2795;1512;413;469;595;259;276;316;350;397;595;626;611;605;587;469;2352;2006;11998;5233;3780;306;2062;201;417;.;2633;8402;741;.;.;351;454;2188;3383;4303;1203;.;.;.;10464;497;5431;4536;1533;11876;.;122;7699;4299;.;.;.;11624;3253;3141;2773;2283;2130;10;11;11;11;12;21697;9859;4302;1332;1736;868;591;1030;21849;9973;1621;3247;2065;994;372;1108;398;168;21571;11562;10009;2968;3209;1900;1098;531;598;179;708;305;66;21743;14006;7737;2342;2421;1391;2953;2003;1401;349;830;182;134;21797;13841;7956;2156;5179;3317;1338;526;180;240;269;95;75;50;29;190;197;21756;9410;12346;1415;896;1241;1968;1269;895;649;868;135;74;24.5;30.2;127.6;54.5;52.9;13157;7753;812;694;166;76;22;9;40;8;12;13;8.2;8.6;40.1;34;148;227
3;14; la Font de la Guatlla;fontg;10313;30;341;904;4869;5444;1104;884;6134;2191;474;268;41;11;13;22;140;369;5624;169;150;328;93;61;27;33;28;26;2436;8365;43;2;10;16;5;2;3;2;4;92;7;4;6;162;7;2;0;0;7;31;40;45;49;20;3;0;9;2;16;3;0;2;33;2;0;0;3;0;0;5;38;2;5;49;18;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1;2;1;0;1;1;0;0;0;5;76;0;1;0;0;0;6;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;1;19;0;0;0;0;2;16;0;48;0;1;0;22;0;40;7;1;0;0;4;0;61;74;81;103;65;0;26;69;27;37;39;0;0;0;9;0;5;14;0;57;0;6;1;0;4;1;0;0;0;0;4;0;0;0;6;0;91;0;1;0;0;0;0;3;0;0;0;145;1;1;0;0;4326;2.4;30;114;124;121;104;87;86;90;87;122;102;109;122;76;39;10;1423;643;1823;1991;2338;2316;7;407;1044;1007;1103;1314;5;1424;1269;805;557;143;59;33;15;18;3513;491;273;39;7;3419;451;453;48.5;31.4;36.6;435;213;222;75;76;84;82;71;61;62.9;62.5;788;326;134;328;417;372;917,393,205,392;871,824,053,801;82,425,200,282;745,560,088,188;91.7;69.7;77.8;77;559;108;127;38;63;154;84;5697;3455;1210;561;167;128;176;84;91;135;147;127;161;158;201;196;174;153;746;827;4532;1902;954;166;1233;.;159;.;1381;2396;594;.;.;.;384;947;1060;1398;584;.;.;.;4027;161;2418;1448;504;4260;.;271;2924;1608;.;.;.;4199;.;.;.;.;2475;12;13;13;13;14;7276;3652;1129;772;565;416;375;395;7422;3670;849;809;601;477;245;459;167;63;7305;4383;2922;1399;803;610;412;361;227;117;273;160;21;7271;4990;2281;1207;714;703;602;699;488;210;259;68;40;7332;4796;2536;1060;1356;958;537;387;94;82;55;40;35;34;3;73;82;7414;3627;3787;842;609;473;437;403;309;208;294;37;15;26;30;187.6;53.3;49.7;4.99;2809;322;219;66;33;19;28;6;4;0;0;8;11.9;58.1;35.2;36;149
3;15; Hostafrancs;host;15960;41;389;713;7674;8286;1695;1378;9893;2994;549;348;50;35;18;40;180;439;8973;212;123;331;138;84;40;73;33;19;4275;12412;43;9;14;26;3;1;0;2;7;135;8;5;8;218;1;1;1;0;11;32;48;51;93;18;6;0;15;3;13;1;0;4;29;0;0;5;12;0;1;3;59;1;4;32;9;0;0;0;0;1;0;0;0;0;4;6;0;1;0;7;0;5;0;1;0;0;0;0;0;3;187;0;0;0;0;0;11;0;0;4;0;4;0;0;0;3;0;2;0;0;0;0;3;24;0;0;0;0;6;42;0;73;0;0;1;49;0;60;1;2;0;0;14;0;63;179;100;150;215;0;54;231;19;46;62;0;0;0;9;0;18;93;0;133;1;3;3;4;13;1;5;0;0;0;1;0;0;0;9;0;381;0;0;1;0;0;0;4;0;0;0;295;4;5;0;0;6622;2.4;36;155;219;216;150;163;133;147;138;151;109;144;158;149;54;25;2147;1020;3075;3110;3461;3403;6;627;1632;1563;1662;1874;5;2149;1961;1.22;813;237;118;51;32;39;5404;722;411;66;17;5086;754;780;47.8;31.7;34.4;791;426;365;127;125;119;149;122;130;84.3;86.1;998;385;180;433;477;522;824,692,619,262;816,546,995,804;779,304,168,335;761,385,897,712;82.5;72.1;77.2;105;747;147;143;50;86;193;79;8336;5081;1550;795;253;381;276;95;106;153;165;188;249;259;295;255;233;209;1168;1337;6820;2602;1394;284;2214;.;246;251;2084;3654;695;.;.;197;542;1132;1802;1828;1057;146;.;.;5662;214;2903;2545;1158;6615;.;205;4182;2638;.;.;641;5948;3470;3280;2793;2641;2501;12;12;13;13;13;11406;5818;1669;1393;687;657;689;723;11237;5684;1474;1232;756;715;440;727;240;100;11013;6709;4304;2263;1242;707;706;601;227;223;472;230;38;10895;7492;3403;2110;842;1317;812;1044;470;362;419;80;36;10979;7083;3896;1903;1787;1116;891;688;139;80;87;51;67;42;12;112;108;10945;5484;5461;1540;1029;768;589;492;297;267;421;51;30;26.4;33.1;164.5;53.6;43.4;8113;4241;1468;704;225;114;14;127;19;16;4;0;9.7;8.1;60.5;49.2;112;172
3;16; la Bordeta;bord;18577;58;322;900;8810;9767;2093;1672;10959;3853;957;457;55;30;17;27;287;631;11478;241;202;506;109;107;44;53;24;39;3313;15988;36;2;14;25;5;3;0;0;1;76;4;6;3;153;1;5;0;1;13;25;25;24;77;10;3;0;5;0;5;1;2;5;32;0;0;0;6;0;0;1;51;2;3;33;5;0;0;0;0;5;0;0;3;0;0;0;0;8;0;1;1;4;2;2;0;0;1;0;0;0;174;0;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;3;13;0;0;0;0;2;33;0;121;0;3;0;57;0;36;5;5;0;0;15;0;74;166;50;124;205;0;47;150;23;37;47;7;4;4;0;0;1;27;0;120;0;1;0;2;3;7;0;0;0;0;2;0;0;0;2;0;112;0;3;0;0;0;0;1;0;0;0;201;1;1;0;0;7502;2.5;29;136;188;181;153;108;134;148;164;181;134;179;187;129;50;12;2113;1264;3562;3975;4312;3120;16;800;2048;1999;2044;1758;9;2114;2328;1568;1045;243;94;44;27;40;5972;977;474;61;19;6.38;467;656;47.5;31.1;34.4;821;405;416;142;164;157;152;170;151;50.3;60.7;1171;452;211;508;559;612;807,684,541,846;773,739,883,343;733,834,939,221;710,549,809,753;80.8;72.9;71.4;117;913;157;215;55;109;229;102;11225;7624;1897;964;232;204;304;524;190;212;233;232;322;319;375;388;355;311;1353;1328;8220;3581;2375;261;1665;.;295;.;1883;5572;631;.;.;.;267;1177;2495;2729;1225;.;.;.;7228;147;3757;3324;992;8016;.;193;5622;2598;.;.;328;7662;.;.;2866;2360;2233;11;11;12;12;12;14078;7165;2277;1498;885;717;842;946;13982;7249;1754;1637;1089;789;572;924;337;147;13814;8758;5056;2903;1620;1071;890;828;276;266;573;265;66;13817;9926;3891;2671;1228;1698;1281;1210;682;460;504;115;77;13818;9460;4358;2325;2648;1700;1035;837;174;126;131;101;62;35;8;164;114;13870;7008;6862;1940;1227;909;876;678;372;324;533;103;46;22.3;26.2;177.5;54.5;49.5;8485;3841;703;430;231;54;17;14;3;6;0;45;6.1;8.9;46.3;37.1;74;69
3;17; Sants-Badal;santb;24351;41;593;969;11419;12932;2635;2176;14536;5004;1367;642;47;44;35;41;435;770;13808;352;298;560;163;149;46;85;35;34;5440;20014;45;2;13;13;1;1;1;3;2;104;6;2;7;197;3;1;0;0;24;47;42;37;203;12;1;0;6;6;17;10;0;0;57;2;0;0;5;0;0;4;49;2;3;66;20;0;0;0;0;7;3;0;0;0;0;1;0;3;0;3;4;9;0;10;0;1;0;0;0;4;181;0;1;1;0;0;7;0;0;3;0;0;0;0;0;0;0;7;1;0;0;0;4;17;0;0;0;0;6;42;1;261;0;9;1;48;0;52;15;4;0;0;35;0;98;416;87;252;343;0;123;294;33;45;66;0;0;2;10;0;7;60;0;81;0;17;0;1;14;3;0;1;0;0;0;1;0;0;16;0;289;0;1;0;0;1;0;9;0;2;2;305;2;1;0;0;10049;2.4;51;183;275;289;214;199;178;196;205;209;199;233;289;213;77;18;3028;1762;4948;4933;5295;4597;12;1106;2765;2487;2573;2591;5;3035;3091;1942;1272;382;160;86;32;47;8124;1194;609;105;15;8257;806;984;48.1;30.5;34.7;1255;653;602;167;186;224;191;192;193;66.6;65.6;1309;489;225;595;612;698;844,572,571,472;813,696,955,254;785,426,745,346;771,000,281,079;84.5;74.3;76.6;187;1131;212;238;87;141;297;132;12562;7979;2425;1203;390;268;297;169;179;267;305;278;462;436;470;425;386;331;1861;1817;10195;4254;1986;464;2994;171;326;.;3131;5557;1254;.;.;.;461;1476;3093;3490;1434;115;.;.;8789;461;4459;3870;1406;10142;.;.;6654;3541;.;.;900;9221;3562;3391;3020;2785;2623;12;12;12;12;13;19497;9073;3012;1927;1328;849;929;1028;17984;9270;2269;2294;1491;966;602;1057;421;170;17716;10985;6731;3743;2173;1473;1004;864;390;285;672;316;65;17609;12423;5186;3269;1765;1856;1662;1451;978;478;696;153;115;17712;11751;5961;2994;3354;2338;1121;875;203;141;141;101;83;52;16;173;159;17580;8625;8955;2124;1445;1048;1163;991;604;386;666;132;66;24.8;31.7;178.8;52.4;47.1;11634;5304;1086;853;162;34;44;10;15;14;2;10;7.6;8.3;57.5;47.8;83;106
3;18; Sants;sants;41057;110;374;739;19485;21572;4565;3459;24361;8672;1461;952;120;98;52;79;419;1061;25157;552;275;706;345;200;95;182;66;49;9188;33629;139;12;15;49;8;11;5;1;12;284;16;12;12;561;17;6;0;0;30;54;71;121;259;53;15;2;15;15;16;6;0;1;48;1;0;0;8;0;0;4;87;17;13;100;56;1;1;5;0;11;0;0;2;0;5;1;0;5;1;4;21;17;0;6;2;0;0;1;0;0;390;1;1;1;0;0;8;0;0;21;0;0;0;1;0;0;0;3;0;0;0;0;9;56;0;0;0;0;10;83;0;249;0;11;1;78;1;94;8;11;0;0;32;0;208;653;143;368;453;0;133;407;50;115;99;2;0;1;39;0;13;60;0;257;0;17;0;8;40;0;5;3;0;1;3;2;0;1;55;0;484;0;4;1;0;1;0;14;0;3;0;472;3;4;2;0;17365;2.4;96;347;597;517;409;375;358;361;337;391;359;438;574;429;166;36;5.79;2470;7118;7578;9272;9819;9;1542;3988;3855;4459;5478;5;5797;5113;3155;2182;594;242;127;70;85;14093;1952;1.11;181;29;14.05;1492;1823;47.8;31.5;35.2;1777;932;845;332;372;343;308;340;352;71.4;67;2429;922;434;1073;1150;1280;871,409,860,978;852,650,887,287;844,069,153,794;864,396,726,527;87.1;85.2;82.6;367;2188;454;487;178;280;491;291;21933;13278;4736;2071;664;520;664;267;271;427;450;480;696;703;733;737;621;565;3003;3256;19229;7279;3711;712;6639;245;644;269;5780;10047;2442;351;340;318;1220;3313;5177;5751;2845;334;247;.;17030;658;9256;7116;2199;18384;.;769;12440;6789;.;281;2570;15544;3838;3417;2996;2553;2560;12;12;13;13;13;31322;16062;4555;4283;1870;1626;1842;1886;29847;16186;4834;3248;1997;1777;1222;2121;679;308;29391;19019;10372;7277;2998;1952;1858;1721;648;655;1106;633;171;29225;21218;8007;6891;2271;3729;1994;2483;1310;1196;969;246;129;29398;20191;9207;6216;4768;3104;2220;2009;411;211;170;183;130;137;19;301;312;29579;15946;13633;4473;3431;2106;1550;1337;843;698;1173;218;117;27.5;33.8;179.6;56;49.1;21.14;9589;3036;2074;381;175;100;139;31;19;18;14;8.1;9.8;54.3;42.1;166;200
4;19; les Corts;corts;46183;141;327;712;21512;24671;5289;4165;25833;10896;1438;1262;159;137;97;103;468;1313;31229;670;255;692;581;230;147;282;119;77;6924;41010;165;12;38;51;10;9;1;4;10;278;18;9;15;470;11;11;0;3;38;43;97;113;164;31;15;1;4;19;8;4;1;3;20;5;0;2;21;0;1;5;104;13;18;44;36;0;0;0;0;4;0;1;2;0;2;2;0;1;0;4;12;21;2;5;1;0;2;0;0;5;92;0;2;1;0;0;5;0;0;16;0;0;0;3;0;0;0;2;0;0;0;0;11;88;0;0;0;0;9;44;0;123;0;8;0;67;0;129;16;11;0;0;16;0;136;192;202;258;188;0;85;216;39;122;111;1;0;2;33;0;34;28;0;62;10;22;0;12;140;1;5;0;0;0;10;0;0;0;14;0;210;0;4;0;0;12;0;13;0;0;2;369;2;5;1;0;19014;2.4;74;350;513;422;313;343;309;346;456;547;443;523;522;425;175;40;5801;1911;4953;6650;11657;15276;17;1199;3101;3720;5924;7888;9;5805;5586;3665;2.74;800;234;95;37;57;15395;1.98;1336;254;54;16313;1193;1513;47.5;32.8;37.5;1414;690;724;336;352;346;388;373;361;49.3;46.8;2445;908;464;1073;1158;1287;1,317,249,288,785;1,289,107,796,932;1,316,512,887,762;1,269,008,768,139;131.7;129.6;124.8;711;3493;812;765;357;432;624;452;32820;20450;7646;2479;808;623;814;637;644;725;797;852;1206;1280;1204;1168;1022;873;4043;4122;19488;8789;3920;549;4935;499;797;170;3223;10072;4501;1029;494;302;765;2466;5434;6217;3711;411;106;.;18299;1029;12988;4282;1190;18833;.;641;13735;5754;.;.;389;18407;4459;4688;4040;3652;3536;13;13;14;14;14;38243;21138;5323;6559;3679;1498;1698;2381;36023;21253;7792;3696;3931;1511;1138;1997;915;273;35590;25170;10420;11074;3157;3931;1647;1446;1048;768;1216;755;128;35354;27555;7799;10637;4417;3339;2253;2286;2262;867;1013;347;134;35539;26253;9286;9766;4806;6068;1818;1881;430;281;134;177;129;72;20;392;279;35509;20493;15016;4392;5979;1908;1792;2717;1505;593;1221;288;98;24.3;30.4;194.8;50.3;56.7;22975;18866;2989;1925;1673;148;85;200;58;30;19;38;7.6;9.1;41.5;28.9;179;109
4;20; la Maternitat i Sant Ramon;mater;23667;190;124;724;11053;12614;2721;2107;13147;5692;1138;712;93;78;31;76;372;803;14938;323;249;480;257;183;72;137;53;23;3649;21001;70;7;7;26;7;3;1;0;1;94;12;10;6;230;1;8;0;0;16;34;31;40;37;9;6;4;2;11;3;1;1;2;15;0;0;0;10;0;0;3;50;6;4;37;20;1;0;0;0;15;0;0;0;0;0;0;0;5;0;0;0;12;0;1;0;0;0;1;0;0;95;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;9;1;0;0;0;4;39;0;0;0;0;4;22;0;89;0;4;0;22;0;84;9;7;0;0;14;0;79;130;84;209;114;0;78;161;22;102;57;0;0;0;1;0;26;15;0;33;5;37;0;5;52;2;4;0;0;1;4;0;0;0;3;0;36;4;0;1;0;2;0;19;0;1;1;108;2;1;0;0;9632;2.5;40;160;220;177;158;121;127;152;213;260;202;231;285;189;83;23;2641;1237;2990;3727;5764;6995;12;785;1866;2023;2841;3687;7;2648;2978;1.91;1499;396;117;48;27;9;7709;1055;748;104;16;8287;591;754;47.8;31.2;36;931;433;498;163;146;171;165;181;178;40.5;40.5;1294;483;223;588;605;690;129,781,126,172;1,280,501,287,873;1,253,425,390,533;1,106,225,400,295;129.8;109.3;118.7;348;1791;434;361;162;200;383;202;16878;10439;3881;1276;490;305;487;314;293;364;388;408;566;603;609;588;538;448;2138;2262;9720;4671;1853;373;2244;243;335;.;1508;4910;2593;502;133;181;363;1160;2217;3144;2296;206;.;.;9106;475;6334;2298;613;9447;.;272;6787;2933;.;.;.;9356;4357;4287;3649;3512;3371;12;12;13;13;14;20614;10501;3007;2770;2041;703;789;1191;18445;10627;3370;2053;2325;806;490;977;461;145;18216;12486;5730;4936;1961;2218;772;698;585;338;589;348;41;18201;13829;4372;4564;2531;1643;1425;1242;1299;379;485;187;74;18333;13345;4988;4266;2861;3448;887;901;165;198;99;88;59;34;12;212;115;18252;10175;8077;2053;2410;1020;1068;1535;839;380;676;140;54;22;28.4;197.5;49.4;58.3;11614;7352;808;955;432;324;53;194;154;19;1;7;7.3;8.2;48.4;33.4;83;50
